fetched_at,from,from_name,to,to_name,depart_date,price,airline,flight_no
2026-09-13 13:40:16,WUX,无锡,LHW,兰州,2026-09-30,1690,昆明航,KY9323
2026-09-13 22:18:21,WUX,无锡,LHW,兰州,2026-09-30,1690,,,tongcheng
2026-09-13 14:28:02,WUX,无锡,LHW,兰州,2026-09-30,1690,,,tongcheng
2026-09-13 17:18:14,WUX,无锡,SIA,西安,2026-10-01,1180,川航,3U5081,tuniu
2026-09-13 19:33:10,WUX,无锡,SIA,西安,2026-10-02,770,东航,MU2709,tuniu
2026-09-13 21:40:02,WUX,无锡,CTU,成都,2026-09-30,1030,瑞丽航,DR5315,tuniu
2026-09-13 23:33:25,WUX,无锡,CTU,成都,2026-10-01,1050,山航,SC9345,tuniu
2026-09-14 00:52:46,WUX,无锡,CTU,成都,2026-10-02,808,东航,MU2825,tuniu
2026-09-14 01:00:29,WUX,无锡,LHW,兰州,2026-09-30,1690,山航,SC9353,tuniu
2026-09-14 01:20:25,WUX,无锡,LHW,兰州,2026-10-01,1690,山航,SC9353,tuniu
2026-09-14 01:40:28,WUX,无锡,LHW,兰州,2026-10-02,1200,昆明航,KY9323,tuniu
2026-09-14 02:00:28,WUX,无锡,INC,银川,2026-09-30,2090,东航,MU2821-MU6261,tuniu
2026-09-14 02:20:25,WUX,无锡,INC,银川,2026-10-01,1780,华夏,G51573A,tuniu
2026-09-14 02:41:12,WUX,无锡,INC,银川,2026-10-02,1430,华夏,G59556A,tuniu
2026-09-14 03:20:26,WUX,无锡,DNH,敦煌,2026-09-30,2430,华夏,G585Q1E,tuniu
2026-09-14 04:00:24,WUX,无锡,DNH,敦煌,2026-10-01,2320,华夏,G585X7S,tuniu
2026-09-14 05:01:07,WUX,无锡,DNH,敦煌,2026-10-02,1740,华夏,G585Q1E,tuniu
2026-09-14 07:26:59,WUX,无锡,SIA,西安,2026-10-02,810,,,tongcheng
2026-09-14 07:27:15,WUX,无锡,CTU,成都,2026-10-02,850,,,tongcheng
2026-09-14 07:27:33,WUX,无锡,CTU,成都,2026-09-30,1020,,,tongcheng
2026-09-14 07:27:50,WUX,无锡,CTU,成都,2026-10-01,1170,,,tongcheng
2026-09-14 07:28:08,WUX,无锡,SIA,西安,2026-10-01,970,,,tongcheng
2026-09-14 07:28:25,WUX,无锡,LHW,兰州,2026-10-02,1030,,,tongcheng
2026-09-14 07:28:58,WUX,无锡,LHW,兰州,2026-09-30,1690,,,tongcheng
2026-09-14 07:29:15,WUX,无锡,LHW,兰州,2026-10-01,1690,,,tongcheng
2026-09-14 13:20:32,SHA,上海,SIA,西安,2026-09-30,1070,南航,CZ5791,tuniu
2026-09-14 13:40:29,SHA,上海,SIA,西安,2026-10-01,1002,吉祥,HO1235,tuniu
2026-09-14 14:00:33,SHA,上海,SIA,西安,2026-10-02,570,春秋,9C8945,tuniu
2026-09-14 14:20:30,SHA,上海,CTU,成都,2026-09-30,1090,国航,CA8541,tuniu
2026-09-14 14:40:32,SHA,上海,CTU,成都,2026-10-01,1193,东航,MU5447,tuniu
2026-09-14 15:00:30,SHA,上海,CTU,成都,2026-10-02,728,东航,MU5470,tuniu
2026-09-14 15:20:26,SHA,上海,LHW,兰州,2026-09-30,1207,吉祥,HO1101,tuniu
2026-09-14 15:40:30,SHA,上海,LHW,兰州,2026-10-01,1370,春秋,9C6487,tuniu
2026-09-14 16:00:30,SHA,上海,LHW,兰州,2026-10-02,880,春秋,9C6487,tuniu
2026-09-14 16:20:30,SHA,上海,INC,银川,2026-09-30,1210,吉祥,HO2341,tuniu
2026-09-14 16:40:30,SHA,上海,INC,银川,2026-10-01,1420,东航,MU5271,tuniu
2026-09-14 17:00:34,SHA,上海,INC,银川,2026-10-02,941,东航,MU5271,tuniu
2026-09-14 17:20:31,SHA,上海,DNH,敦煌,2026-09-30,2027,吉祥,HO2211,tuniu
2026-09-14 17:40:30,SHA,上海,DNH,敦煌,2026-10-01,7870,吉祥,HO2211,tuniu
2026-09-14 18:00:38,SHA,上海,DNH,敦煌,2026-10-02,2705,吉祥,HO2211,tuniu
2026-09-14 18:20:26,SHA,上海,JGN,嘉峪关,2026-09-30,2100,东航,MU6255,tuniu
2026-09-14 18:40:29,SHA,上海,JGN,嘉峪关,2026-10-01,1930,华夏,G54967F,tuniu
2026-09-14 19:00:31,SHA,上海,JGN,嘉峪关,2026-10-02,1280,华夏,G58113N,tuniu
2026-09-14 19:20:33,SHA,上海,JIC,金昌,2026-09-30,2230,深航,ZH5045,tuniu
2026-09-14 20:00:25,SHA,上海,JIC,金昌,2026-10-01,1840,东航,MU2240-MU6203,tuniu
2026-09-14 20:20:25,SHA,上海,JIC,金昌,2026-10-02,1872,吉祥,HO1101,tuniu
2026-09-15 07:03:27,SHA,上海,SIA,西安,2026-10-02,570,,,tongcheng
2026-09-15 07:03:44,SHA,上海,CTU,成都,2026-10-02,750,,,tongcheng
2026-09-15 07:04:00,WUX,无锡,SIA,西安,2026-10-02,670,,,tongcheng
2026-09-15 07:04:17,WUX,无锡,CTU,成都,2026-10-02,820,,,tongcheng
2026-09-15 07:04:34,SHA,上海,LHW,兰州,2026-10-02,760,,,tongcheng
2026-09-15 07:04:51,SHA,上海,INC,银川,2026-10-02,970,,,tongcheng
2026-09-15 07:05:07,WUX,无锡,SIA,西安,2026-10-01,970,,,tongcheng
2026-09-15 07:05:26,SHA,上海,SIA,西安,2026-10-01,1020,,,tongcheng
2026-09-15 07:05:44,WUX,无锡,CTU,成都,2026-09-30,920,,,tongcheng
2026-09-15 07:05:59,WUX,无锡,LHW,兰州,2026-10-02,1030,,,tongcheng
2026-09-15 07:06:17,WUX,无锡,CTU,成都,2026-10-01,1170,,,tongcheng
2026-09-15 07:06:33,SHA,上海,SIA,西安,2026-09-30,1130,,,tongcheng
2026-09-16 00:40:27,CZX,常州,SIA,西安,2026-09-30,836,东航,MU2971,tuniu
2026-09-16 01:00:28,CZX,常州,SIA,西安,2026-10-01,751,东航,MU2983,tuniu
2026-09-16 01:20:30,CZX,常州,SIA,西安,2026-10-02,580,东航,MU2983,tuniu
2026-09-16 01:40:39,CZX,常州,CTU,成都,2026-09-30,1100,成都航,EU1954,tuniu
2026-09-16 02:00:32,CZX,常州,CTU,成都,2026-10-01,1050,瑞丽航,DR5016,tuniu
2026-09-16 02:20:29,CZX,常州,CTU,成都,2026-10-02,892,东航,MU2935,tuniu
2026-09-16 02:40:35,CZX,常州,LHW,兰州,2026-09-30,2340,国航,CA2628-CA2581,tuniu
2026-09-16 03:01:05,CZX,常州,LHW,兰州,2026-10-01,890,春秋,9C6362,tuniu
2026-09-16 03:40:43,CZX,常州,LHW,兰州,2026-10-02,1340,东航,MU2851-MU2418,tuniu
2026-09-16 04:00:31,CZX,常州,INC,银川,2026-09-30,1310,长龙航,GJ8133,tuniu
2026-09-16 04:20:33,CZX,常州,INC,银川,2026-10-01,1390,华夏,G511D3E,tuniu
2026-09-16 04:40:44,CZX,常州,INC,银川,2026-10-02,980,川航,3U4755,tuniu
2026-09-16 05:20:27,CZX,常州,DNH,敦煌,2026-09-30,1780,东航,MU2971-MU2215,tuniu
2026-09-16 05:40:30,CZX,常州,DNH,敦煌,2026-10-01,2160,长龙航,GJ8116-MU2127,tuniu
2026-09-16 06:20:27,CZX,常州,DNH,敦煌,2026-10-02,1210,东航,MU2983-MU2215,tuniu
2026-09-16 07:00:26,CZX,常州,JGN,嘉峪关,2026-09-30,2170,华夏,G561Q2A,tuniu
2026-09-16 07:04:23,SHA,上海,SIA,西安,2026-10-02,570,,,tongcheng
2026-09-16 07:04:40,CZX,常州,SIA,西安,2026-10-02,610,,,tongcheng
2026-09-16 07:04:57,WUX,无锡,SIA,西安,2026-10-02,670,,,tongcheng
2026-09-16 07:05:15,SHA,上海,CTU,成都,2026-10-02,750,,,tongcheng
2026-09-16 07:05:32,CZX,常州,SIA,西安,2026-10-01,790,,,tongcheng
2026-09-16 07:05:49,SHA,上海,LHW,兰州,2026-10-02,880,,,tongcheng
2026-09-16 07:06:05,WUX,无锡,CTU,成都,2026-10-02,850,,,tongcheng
2026-09-16 07:06:23,CZX,常州,SIA,西安,2026-09-30,880,,,tongcheng
2026-09-16 07:06:40,CZX,常州,LHW,兰州,2026-10-01,930,,,tongcheng
2026-09-16 07:06:56,CZX,常州,CTU,成都,2026-10-02,950,,,tongcheng
2026-09-16 07:07:13,WUX,无锡,CTU,成都,2026-09-30,1150,,,tongcheng
2026-09-16 07:07:29,SHA,上海,INC,银川,2026-10-02,970,,,tongcheng
2026-09-16 07:40:32,CZX,常州,JGN,嘉峪关,2026-10-01,2420,华夏,G539Z7F,tuniu
2026-09-16 08:00:28,CZX,常州,JGN,嘉峪关,2026-10-02,2050,川航,3U8978-3U6363,tuniu
